$6.60	$13.20	$33.00	$66.00	$132.00	$264.00	$396.00	40000
$6.85	$13.70	$34.25	$68.50	$137.00	$274.00	$411.00	50000
$7.00	$14.00	$35.00	$70.00	$140.00	$280.00	$420.00	27777.78
$7.25	$14.50	$36.25	$72.50	$145.00	$290.00	$435.00	52356.02
$7.50	$15.00	$37.50	$75.00	$150.00	$300.00	$450.00	6896.55
$7.65	$15.30	$38.25	$76.50	$153.00	$306.00	$459.00	55555.56
$9.00	$18.00	$45.00	$90.00	$180.00	$360.00	$540.00	25000
$9.15	$18.30	$45.75	$91.50	$183.00	$366.00	$549.00	55555.56
$9.50	$19.00	$47.50	$95.00	$190.00	$380.00	$570.00	33333.33
$10.00	$20.00	$50.00	$100.00	$200.00	$400.00	$600.00	6060.61
$11.00	$22.00	$55.00	$110.00	$220.00	$440.00	$660.00	40160.64
$12.50	$25.00	$62.50	$125.00	$250.00	$500.00	$750.00	11764.71
$13.50	$27.00	$67.50	$135.00	$270.00	$540.00	$810.00	200000
$14.00	$28.00	$70.00	$140.00	$280.00	$560.00	$840.00	200000
$15.00	$30.00	$75.00	$150.00	$300.00	$600.00	$900.00	8333.33
$16.50	$33.00	$82.50	$165.00	$330.00	$660.00	$990.00	100000
$17.00	$34.00	$85.00	$170.00	$340.00	$680.00	$1,020.00	100000
$17.50	$35.00	$87.50	$175.00	$350.00	$700.00	$1,050.00	50000
$19.00	$38.00	$95.00	$190.00	$380.00	$760.00	$1,140.00	25000
$20.00	$40.00	$100.00	$200.00	$400.00	$800.00	$1,200.00	10000
$21.00	$42.00	$105.00	$210.00	$420.00	$840.00	$1,260.00	25000
$22.50	$45.00	$112.50	$225.00	$450.00	$900.00	$1,350.00	25000
$23.00	$46.00	$115.00	$230.00	$460.00	$920.00	$1,380.00	25000
$24.00	$48.00	$120.00	$240.00	$480.00	$960.00	$1,440.00	25000
$25.00	$50.00	$125.00	$250.00	$500.00	$1,000.00	$1,500.00	22727.27
$25.25	$50.50	$126.25	$252.50	$505.00	$1,010.00	$1,515.00	50000
$25.30	$50.60	$126.50	$253.00	$506.00	$1,012.00	$1,518.00	100000
$25.50	$51.00	$127.50	$255.00	$510.00	$1,020.00	$1,530.00	25000
$26.00	$52.00	$130.00	$260.00	$520.00	$1,040.00	$1,560.00	100000
$26.15	$52.30	$130.75	$261.50	$523.00	$1,046.00	$1,569.00	100000
$26.25	$52.50	$131.25	$262.50	$525.00	$1,050.00	$1,575.00	100000
$27.50	$55.00	$137.50	$275.00	$550.00	$1,100.00	$1,650.00	18181.82
$28.00	$56.00	$140.00	$280.00	$560.00	$1,120.00	$1,680.00	18181.82
$28.25	$56.50	$141.25	$282.50	$565.00	$1,130.00	$1,695.00	66666.67
$28.50	$57.00	$142.50	$285.00	$570.00	$1,140.00	$1,710.00	50000
$29.50	$59.00	$147.50	$295.00	$590.00	$1,180.00	$1,770.00	200000
$29.65	$59.30	$148.25	$296.50	$593.00	$1,186.00	$1,779.00	833333.33
$30.00	$60.00	$150.00	$300.00	$600.00	$1,200.00	$1,800.00	125000
$31.00	$62.00	$155.00	$310.00	$620.00	$1,240.00	$1,860.00	200000
$31.50	$63.00	$157.50	$315.00	$630.00	$1,260.00	$1,890.00	333333.33
$31.55	$63.10	$157.75	$315.50	$631.00	$1,262.00	$1,893.00	769230.77
$31.60	$63.20	$158.00	$316.00	$632.00	$1,264.00	$1,896.00	1111111.11
$32.50	$65.00	$162.50	$325.00	$650.00	$1,300.00	$1,950.00	500000
$33.00	$66.00	$165.00	$330.00	$660.00	$1,320.00	$1,980.00	500000
$33.20	$66.40	$166.00	$332.00	$664.00	$1,328.00	$1,992.00	370370.37
