$5.35	$10.70	$21.40	$42.80	$107.00	$214.00	$428.00	$642.00	$1,070.00	28571.43
$5.40	$10.80	$21.60	$43.20	$108.00	$216.00	$432.00	$648.00	$1,080.00	28571.43
$5.45	$10.90	$21.80	$43.60	$109.00	$218.00	$436.00	$654.00	$1,090.00	35714.29
$5.50	$11.00	$22.00	$44.00	$110.00	$220.00	$440.00	$660.00	$1,100.00	28571.43
$5.55	$11.10	$22.20	$44.40	$111.00	$222.00	$444.00	$666.00	$1,110.00	28169.01
$5.60	$11.20	$22.40	$44.80	$112.00	$224.00	$448.00	$672.00	$1,120.00	35714.29
$5.65	$11.30	$22.60	$45.20	$113.00	$226.00	$452.00	$678.00	$1,130.00	35714.29
$5.70	$11.40	$22.80	$45.60	$114.00	$228.00	$456.00	$684.00	$1,140.00	35714.29
$5.75	$11.50	$23.00	$46.00	$115.00	$230.00	$460.00	$690.00	$1,150.00	28571.43
$5.80	$11.60	$23.20	$46.40	$116.00	$232.00	$464.00	$696.00	$1,160.00	28571.43
$5.85	$11.70	$23.40	$46.80	$117.00	$234.00	$468.00	$702.00	$1,170.00	36363.64
$5.90	$11.80	$23.60	$47.20	$118.00	$236.00	$472.00	$708.00	$1,180.00	36363.64
$5.95	$11.90	$23.80	$47.60	$119.00	$238.00	$476.00	$714.00	$1,190.00	64516.13
$6.00	$12.00	$24.00	$48.00	$120.00	$240.00	$480.00	$720.00	$1,200.00	21052.63
$6.05	$12.10	$24.20	$48.40	$121.00	$242.00	$484.00	$726.00	$1,210.00	24691.36
$6.10	$12.20	$24.40	$48.80	$122.00	$244.00	$488.00	$732.00	$1,220.00	48780.49
$6.15	$12.30	$24.60	$49.20	$123.00	$246.00	$492.00	$738.00	$1,230.00	25000
$6.20	$12.40	$24.80	$49.60	$124.00	$248.00	$496.00	$744.00	$1,240.00	16528.93
$6.25	$12.50	$25.00	$50.00	$125.00	$250.00	$500.00	$750.00	$1,250.00	3636.36
$6.30	$12.60	$25.20	$50.40	$126.00	$252.00	$504.00	$756.00	$1,260.00	11363.64
$6.35	$12.70	$25.40	$50.80	$127.00	$254.00	$508.00	$762.00	$1,270.00	11428.57
$6.40	$12.80	$25.60	$51.20	$128.00	$256.00	$512.00	$768.00	$1,280.00	11428.57
$6.45	$12.90	$25.80	$51.60	$129.00	$258.00	$516.00	$774.00	$1,290.00	12903.23
$6.50	$13.00	$26.00	$52.00	$130.00	$260.00	$520.00	$780.00	$1,300.00	11428.57
$6.55	$13.10	$26.20	$52.40	$131.00	$262.00	$524.00	$786.00	$1,310.00	11428.57
